state_visits,county,county_visits,Name,id,state
0,marion county,154,Alabama,1,AL
0,adjacent county,140,Alaska,2,AK
1,other_county,122,Arizona,4,AZ
0,,,Arkansas,5,AR
2,,,California,6,CA
2,,,Colorado,8,CO
0,,,Connecticut,9,CT
0,,,Delaware,10,DE
0,,,Florida,12,FL
2,,,Georgia,13,GA
1,,,Hawaii,15,HI
0,,,Idaho,16,ID
16,,,Illinois,17,IL
434,,,Indiana,18,IN
0,,,Iowa,19,IA
5,,,Kansas,20,KS
16,,,Kentucky,21,KY
0,,,Louisiana,22,LA
0,,,Maine,23,ME
0,,,Maryland,24,MD
0,,,Massachusetts,25,MA
12,,,Michigan,26,MI
0,,,Minnesota,27,MN
0,,,Mississippi,28,MS
0,,,Missouri,29,MO
0,,,Montana,30,MT
0,,,Nebraska,31,NE
0,,,Nevada,32,NV
0,,,New Hampshire,33,NH
0,,,New Jersey,34,NJ
0,,,New Mexico,35,NM
0,,,New York,36,NY
1,,,North Carolina,37,NC
0,,,North Dakota,38,ND
28,,,Ohio,39,OH
0,,,Oklahoma,40,OK
0,,,Oregon,41,OR
0,,,Pennsylvania,42,PA
0,,,Rhode Island,44,RI
0,,,South Carolina,45,SC
0,,,South Dakota,46,SD
0,,,Tennessee,47,TN
0,,,Texas,48,TX
0,,,Utah,49,UT
0,,,Vermont,50,VT
1,,,Virginia,51,VA
0,,,Washington,53,WA
0,,,West Virginia,54,WV
1,,,Wisconsin,55,WI
0,,,Wyoming,56,WY